,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,112.0,177.679993,177.7997998,0.0,19900.15922,0.0,Buy
1,2018-01-03,112.0,181.880005,177.3194019,1.0,20370.56056,470.40134000000035,Sell
2,2018-01-04,112.0,184.899994,177.7198751,3.0,20708.799328,808.6401079999996,Pass
3,2018-01-05,112.0,185.589996,177.4271241,3.0,20786.079552000003,885.9203320000015,Pass
4,2018-01-08,112.0,187.199997,178.4711954,3.0,20966.399664,1066.2404439999991,Pass
5,2018-01-09,112.0,188.699997,178.7975433,3.0,21134.399664,1234.2404439999991,Pass
6,2018-01-10,112.0,186.940002,178.3047774,3.0,20937.280224,1037.121003999997,Pass
7,2018-01-11,112.0,188.399994,179.9303922,3.0,21100.799328,1200.6401079999996,Pass
8,2018-01-12,118.0,178.059998,179.8310104,0.0,21011.079764000002,1110.9205440000005,Buy
9,2018-01-16,118.0,181.5,179.7115477,1.0,21417.0,1516.8407799999986,Sell
10,2018-01-17,119.0,179.259995,180.6229545,0.0,21331.939405,1431.7801849999996,Buy
11,2018-01-18,119.0,178.130005,180.415121,2.0,21197.470595000003,1297.3113750000011,Hold
12,2018-01-19,119.0,180.850006,181.2378252,2.0,21521.150714,1620.991493999998,Hold
13,2018-01-22,119.0,180.800003,180.4938511,1.0,21515.200357,1615.0411370000002,Sell
14,2018-01-23,119.0,186.050003,181.3957896,3.0,22139.950357,2239.791137,Pass
15,2018-01-24,119.0,189.889999,182.0349113,3.0,22596.909881,2696.750660999998,Pass
16,2018-01-25,119.0,187.949997,181.0257793,3.0,22366.049643,2465.890422999997,Pass
17,2018-01-26,119.0,187.75,182.8524142,3.0,22342.25,2442.0907799999986,Pass
18,2018-01-29,119.0,188.75,182.8242357,3.0,22461.25,2561.0907799999986,Pass
19,2018-01-30,119.0,187.619995,182.7108689,3.0,22326.779404999997,2426.620184999996,Pass
20,2018-01-31,119.0,188.369995,183.0703125,3.0,22416.029404999997,2515.870184999996,Pass
21,2018-02-01,119.0,188.220001,184.2666293,3.0,22398.180119,2498.020898999999,Pass
22,2018-02-02,119.0,192.039993,183.8813524,3.0,22852.759167,2952.599946999999,Pass
23,2018-02-05,119.0,186.929993,183.4565061,3.0,22244.669167,2344.5099469999986,Pass
24,2018-02-06,124.0,178.570007,184.9471305,0.0,22142.680868,2242.521647999998,Buy
25,2018-02-07,124.0,184.149994,185.7443224,2.0,22834.599255999998,2934.4400359999963,Hold
26,2018-02-08,124.0,181.009995,184.958968,2.0,22445.23938,2545.0801599999977,Hold
27,2018-02-09,124.0,174.759995,184.4641599,2.0,21670.23938,1770.0801599999977,Hold
28,2018-02-12,124.0,177.059998,185.8738657,2.0,21955.439752000002,2055.2805320000007,Hold
29,2018-02-13,124.0,175.619995,185.166368,2.0,21776.87938,1876.7201599999971,Hold
30,2018-02-14,124.0,173.449997,185.4375615,2.0,21507.799628,1607.6404079999993,Hold
31,2018-02-15,124.0,180.5,183.7815969,2.0,22382.0,2481.8407799999986,Hold
32,2018-02-16,124.0,178.990005,184.3096783,2.0,22194.76062,2294.6013999999996,Hold
33,2018-02-20,124.0,175.770004,183.4918175,2.0,21795.480496,1895.3212759999988,Hold
34,2018-02-21,124.0,176.710007,182.9673608,2.0,21912.040868,2011.8816479999987,Hold
35,2018-02-22,124.0,178.699997,183.2607502,2.0,22158.799628,2258.6404079999993,Hold
36,2018-02-23,124.0,179.899994,182.0879938,2.0,22307.599255999998,2407.4400359999963,Hold
37,2018-02-26,124.0,184.580002,182.7818839,1.0,22887.920248000002,2987.761028000001,Sell
38,2018-02-27,124.0,184.449997,182.8034282,3.0,22871.799628,2971.6404079999993,Pass
39,2018-02-28,125.0,182.300003,182.5305547,0.0,22787.500375,2887.3411549999983,Buy
40,2018-03-01,125.0,179.009995,181.2067971,2.0,22376.249375,2476.090154999998,Hold
41,2018-03-02,125.0,173.289993,181.4453262,2.0,21661.249125000002,1761.0899050000007,Hold
42,2018-03-05,125.0,176.199997,180.4262461,2.0,22024.999625,2124.840404999999,Hold
43,2018-03-06,125.0,181.779999,181.1145934,1.0,22722.499875,2822.340655,Sell
44,2018-03-07,127.0,178.740005,180.6592601,0.0,22699.980635,2799.8214149999985,Buy
45,2018-03-08,127.0,183.559998,180.6113187,1.0,23312.119746,3411.960525999999,Sell
46,2018-03-09,127.0,183.910004,180.087411,3.0,23356.570507999997,3456.4112879999957,Pass
47,2018-03-12,127.0,185.229996,178.5462357,3.0,23524.209492,3624.0502720000004,Pass
48,2018-03-13,127.0,185.610001,179.6529908,3.0,23572.470127,3672.310906999999,Pass
49,2018-03-14,127.0,182.600006,179.0940499,3.0,23190.200762,3290.041541999999,Pass
50,2018-03-15,127.0,183.240005,180.2147206,3.0,23271.480635,3371.3214149999985,Pass
51,2018-03-16,127.0,184.490005,180.0122604,3.0,23430.230635,3530.0714149999985,Pass
52,2018-03-19,132.0,177.009995,179.5800514,0.0,23365.319340000002,3465.1601200000005,Buy
53,2018-03-20,132.0,167.470001,179.8853018,2.0,22106.040132,2205.880911999997,Hold
54,2018-03-21,132.0,164.800003,180.584162,2.0,21753.600396,1853.4411760000003,Hold
55,2018-03-22,132.0,166.130005,179.4902346,2.0,21929.16066,2029.00144,Hold
56,2018-03-23,132.0,165.440002,180.7284023,2.0,21838.080264,1937.9210439999988,Hold
57,2018-03-26,132.0,160.820007,180.1783661,2.0,21228.240924,1328.0817040000002,Hold
58,2018-03-27,132.0,156.309998,180.354014,2.0,20632.919736,732.7605159999985,Hold
59,2018-03-28,132.0,151.649994,179.1979547,2.0,20017.799208,117.639987999999,Hold
60,2018-03-29,132.0,155.149994,178.111155,2.0,20479.799208,579.639987999999,Hold
61,2018-04-02,132.0,157.809998,176.6986972,2.0,20830.919736,930.7605159999985,Hold
62,2018-04-03,132.0,156.550003,175.7144403,2.0,20664.600396,764.4411760000003,Hold
63,2018-04-04,132.0,152.029999,176.1779635,2.0,20067.959868,167.80064800000036,Hold
64,2018-04-05,132.0,161.559998,172.7747614,2.0,21325.919736,1425.7605159999985,Hold
65,2018-04-06,132.0,157.729996,172.2194815,2.0,20820.359472,920.2002519999987,Hold
66,2018-04-09,132.0,157.820007,171.098751,2.0,20832.240924,932.0817040000002,Hold
67,2018-04-10,132.0,157.929993,169.3677102,2.0,20846.759076,946.5998559999971,Hold
68,2018-04-11,132.0,165.360001,169.4970522,2.0,21827.520132,1927.360912,Hold
69,2018-04-12,132.0,166.979996,168.5285335,2.0,22041.359472,2141.2002519999987,Hold
70,2018-04-13,132.0,164.580002,166.4458493,2.0,21724.560264,1824.4010439999984,Hold
71,2018-04-16,132.0,165.720001,166.3273705,2.0,21875.040132,1974.880911999997,Hold
72,2018-04-17,132.0,165.830002,164.1575991,1.0,21889.560264,1989.4010439999984,Sell
73,2018-04-18,132.0,166.880005,163.3840865,3.0,22028.16066,2128.00144,Pass
74,2018-04-19,132.0,166.199997,163.4625573,3.0,21938.399604,2038.240383999997,Pass
75,2018-04-20,132.0,167.789993,163.1746462,3.0,22148.279076000003,2248.119856000001,Pass
76,2018-04-23,132.0,167.270004,161.5875446,3.0,22079.640528,2179.4813079999985,Pass
77,2018-04-24,132.0,165.429993,162.225509,3.0,21836.759076,1936.599855999997,Pass
78,2018-04-25,136.0,160.139999,161.7659314,0.0,21779.039864,1878.8806439999971,Buy
79,2018-04-26,136.0,173.220001,160.2296959,1.0,23557.920136,3657.7609159999993,Sell
80,2018-04-27,136.0,176.809998,160.5596068,3.0,24046.159728000002,4146.000508000001,Pass
81,2018-04-30,136.0,173.789993,161.716491,3.0,23635.439048,3735.279827999999,Pass
82,2018-05-01,136.0,172.0,162.4285357,3.0,23392.0,3491.8407799999986,Pass
83,2018-05-02,136.0,174.25,163.4757666,3.0,23698.0,3797.8407799999986,Pass
84,2018-05-03,136.0,175.130005,163.9113553,3.0,23817.68068,3917.52146,Pass
85,2018-05-04,136.0,173.080002,164.2145479,3.0,23538.880272000002,3638.721052000001,Pass
86,2018-05-07,136.0,177.350006,164.982451,3.0,24119.600816000002,4219.441596000001,Pass
87,2018-05-08,136.0,178.25,166.694861,3.0,24242.0,4341.840779999999,Pass
88,2018-05-09,136.0,179.669998,166.8495818,3.0,24435.119727999998,4534.9605079999965,Pass
89,2018-05-10,136.0,183.149994,166.9412027,3.0,24908.399183999998,5008.239963999997,Pass
90,2018-05-11,136.0,184.850006,168.7217103,3.0,25139.600816000002,5239.441596000001,Pass
91,2018-05-14,136.0,187.710007,169.9363401,3.0,25528.560952,5628.401731999998,Pass
92,2018-05-15,136.0,184.880005,170.0740569,3.0,25143.68068,5243.52146,Pass
93,2018-05-16,136.0,183.699997,171.0682515,3.0,24983.199592,5083.0403719999995,Pass
94,2018-05-17,136.0,182.679993,172.6208649,3.0,24844.479048,4944.319828,Pass
95,2018-05-18,136.0,183.490005,173.9939848,3.0,24954.64068,5054.481459999999,Pass
